2013EV27,17.0*,2038-02-28 23:44,1/30769,-5.12,0,16.67,1464
2007HB15,12.0*,2055-04-25 12:30,1/4608,-5.13,0,12.85,3611
2002MN,91.0*,2071-06-15 15:50,1/568181,-5.13,0,15.25,5330
2006QN111,75.0*,2079-08-16 11:31,1/338983,-5.14,0,15.37,3860
2012ES10,76.0*,2059-03-05 10:45,1/1.49E6,-5.18,0,26.8,1822
2011SO189,21.0*,2056-09-24 11:51,1/35714,-5.18,0,17.2,1990
2016WG,92.0*,2076-06-23 06:55,1/1.72E6,-5.18,0,26.09,128
2016EO28,6.0*,2035-02-28 09:50,1/3174,-5.19,0,13.18,371
2012EK5,33.0*,2095-03-24 11:41,1/64935,-5.19,0,18.81,1819
2011OB26,32.0*,2107-08-12 00:40,1/40322,-5.19,0,15.69,2048
2010QG2,38.0,2051-09-05 09:12,1/478468,-5.19,0,17.06,2398
2008PK9,97.0*,2057-08-10 18:32,1/2.51E6,-5.2,0,27.72,3138
2002UV36,21.0*,2087-10-26 07:58,1/13106,-5.2,0,13.79,5233
2009BR5,160.0*,2078-07-19 06:39,1/4.37E6,-5.21,0,21.17,2986
2013WM,69.0*,2047-11-20 11:31,1/3.11E6,-5.22,0,37.48,1216
2011UM169,41.0*,2102-10-24 12:30,1/107411,-5.25,0,17.89,1962
2011AM37,5.0*,2048-01-11 10:08,1/826,-5.26,0,11.76,2154
2002RB182,110.0*,2110-09-27 04:54,1/1.14E6,-5.26,0,18.61,5292
2014JR24,6.0*,2069-05-01 22:18,1/900,-5.28,0,11.78,1041
2007TC14,160.0*,2082-10-22 10:11,1/7.35E6,-5.29,0,27.89,3450
2016FV13,28.0*,2114-04-12 15:37,1/36630,-5.3,0,15.73,345
2013BL18,27.0*,2086-01-14 07:26,1/56818,-5.31,0,18.06,1514
1996TC1,69.0*,2067-09-26 05:02,1/1.01E6,-5.31,0,26.49,7472
2012SY49,29.0*,2048-09-28 18:29,1/151975,-5.32,0,19.23,1630
2012BA77,28.0*,2025-10-10 01:48,1/303030,-5.32,0,16.75,1871
2013GM3,24.0*,2073-04-13 21:16,1/34013,-5.34,0,13.28,1437
2016DK1,14.0*,2043-02-18 02:17,1/22321,-5.35,0,13.13,376
1995CS,34.0*,2042-02-03 14:40,1/338983,-5.35,0,27.8,8070
2016SR2,23.0*,2101-10-07 11:50,1/21321,-5.35,0,12.66,181
2007KO4,96.0*,2046-11-23 22:02,1/2.16E6,-5.36,0,17.45,3599
2006HF6,54.0*,2070-04-19 01:55,1/442477,-5.36,0,19.85,3978
2012DW60,21.0*,2089-03-13 10:11,1/20040,-5.38,0,12.41,1837
2010JH110,23.0*,2092-06-03 17:11,1/27247,-5.38,0,13.79,2492
2009WP6,19.0*,2074-11-16 09:58,1/61349,-5.38,0,27.7,2670
2014OM207,6.0*,2101-07-25 21:33,1/1169,-5.4,0,13.86,956
2014ML67,64.0*,2027-07-03 19:39,1/4.57E6,-5.4,0,24.14,969
2010KV7,13.0,2034-05-21 06:10,1/109769,-5.42,0,12.39,2488
2010VQ,12.0*,2034-10-07 14:43,1/17857,-5.44,0,12.07,2322
2008KO,55.0*,2052-06-01 14:23,1/1.34E6,-5.46,0,26.06,3225
2011VG9,150.0*,2104-11-03 20:44,1/8.4E6,-5.48,0,27.27,1957
2010MY112,372.0,2018-12-18 17:01,1/5.18E8,-5.49,0,26.13,2440
